iter	Passed	Remaining
362	780	1368
363	781	1365
364	782	1361
365	784	1358
366	785	1354
367	786	1350
368	787	1347
369	790	1345
370	792	1344
371	794	1341
372	796	1338
373	797	1335
374	798	1331
375	800	1328
376	801	1324
377	802	1321
378	804	1318
379	807	1317
380	808	1314
381	811	1312
382	812	1308
383	813	1305
384	815	1302
385	816	1298
386	817	1295
387	819	1292
388	821	1290
389	823	1288
390	824	1284
391	826	1281
392	827	1278
393	829	1275
394	830	1271
395	831	1268
396	833	1265
397	836	1264
398	837	1261
399	840	1260
400	841	1257
401	843	1254
402	844	1251
403	846	1248
404	847	1245
405	849	1242
406	851	1240
407	852	1237
408	855	1235
409	856	1232
410	857	1228
411	858	1225
412	860	1222
413	861	1219
414	863	1217
415	864	1214
416	866	1211
417	868	1208
418	869	1205
419	870	1202
420	871	1199
421	873	1196
422	874	1192
423	875	1189
424	877	1186
425	880	1185
426	881	1182
427	883	1180
428	884	1177
429	885	1174
430	887	1171
431	888	1168
432	889	1165
433	891	1162
434	892	1159
435	895	1158
436	897	1155
437	899	1154
438	900	1151
439	902	1148
440	903	1145
441	904	1142
442	905	1139
443	908	1137
444	911	1136
445	912	1133
446	914	1131
447	915	1128
448	917	1125
449	918	1122
450	919	1119
451	920	1116
452	922	1114
453	925	1113
454	927	1110
